,time,fwd,trn,oL,oR
1456764787,11.8499999,167,125.3499118,116,129
1456764787,11.91000009,167,125.3430683,117,130
1456764787,11.97000003,167,125.3430683,118,131
1456764787,12.02999997,167,125.3396252,119,132
1456764787,12.08999991,167,125.3361678,120,133
1456764787,12.1500001,167,125.3292096,121,134
1456764787,12.21000004,167,125.3292096,122,135
1456764787,12.26999998,167,125.322193,123,136
1456764787,12.32999992,167,125.3186625,124,137
1456764787,12.38999987,167,125.3186625,125,138
1456764787,12.45000005,167,125.3151172,126,139
1456764787,12.50999999,167,125.3079815,127,140
1456764788,12.56999993,167,125.3079815,128,141
1456764788,12.62999988,167,125.300785,129,142
1456764788,12.69000006,167,125.300785,130,143
1456764788,12.75,167,125.2971638,131,144
1456764788,12.80999994,167,125.2935272,132,145
1456764788,12.86999989,167,125.286207,133,146
1456764788,12.93000007,167,125.286207,134,147
1456764788,12.99000001,167,125.2788238,135,148
1456764788,13.04999995,167,125.2751083,136,149
1456764788,13.1099999,167,125.2751083,137,150
1456764788,13.17000008,167,125.2713767,138,151
1456764788,13.23000002,167,125.2638649,139,152
1456764788,13.28999996,167,125.2638649,140,153
1456764788,13.3499999,167,125.2600845,141,154
1456764788,13.41000009,167,125.2562876,142,155
1456764788,13.47000003,167,125.2524741,142,155
1456764789,13.53999996,167,125.2447967,143,156
1456764789,13.5999999,167,125.2447967,145,158
1456764789,13.6500001,167,125.2370517,146,159
1456764789,13.71000004,167,125.2331535,147,160
1456764789,13.77999997,167,125.2331535,148,161
1456764789,13.83999991,167,125.229238,149,162
1456764789,13.9000001,167,125.2213547,150,163
1456764789,13.95000005,167,125.2213547,151,164
1456764789,14.00999999,167,125.2173867,152,165
1456764789,14.07999992,167,125.2093973,153,166
1456764789,14.13999987,167,125.2093973,154,167
1456764789,14.19000006,167,125.201336,155,168
1456764789,14.25,167,125.1972781,156,169
1456764789,14.31999993,167,125.1972781,157,170
1456764789,14.37999988,167,125.1932019,157,170
1456764789,14.43000007,167,125.1849938,159,172
